№,ID ЖК,Место Регион / РФ,+/-,Наименование ЖК,Регион,Адрес ЖК,Оценка ЕРЗ,Квартир в продаже,Класс,Этажность,Застройщик,Рейтинг ЕРЗ
53.0,4906312001.0,52/208,-5,ЖК Скандинавия (Коммунарка) | https://erzrf.ru/novostroyki/zhk-skandinavija-kommunarka-4906312001?regionKey=143443001&gkId=4906312001,г.Москва,"пос.Коммунарка, округ Новомосковский",49.8,1.0,комфорт,многоэтажные дома,ГК А101 | https://erzrf.ru/zastroyschiki/brand/1075233001?regionKey=0&organizationId=1075233001,5.0
54.0,10086205001.0,54/211,-5,ЖК TITUL на Серебрянической | https://erzrf.ru/novostroyki/zhk-titul-na-serebrjanicheskoj-10086205001?regionKey=143443001&gkId=10086205001,г.Москва,"г.Москва, округ Центральный, р-н Таганский, пер.Серебрянический",49.7,18.0,элитный,многоэтажные дома,Центр-Инвест | https://erzrf.ru/zastroyschiki/brand/8961336001?regionKey=0&organizationId=8961336001,3.5
55.0,22838358001.0,55/214,-5,ЖК Upside Towers | https://erzrf.ru/novostroyki/zhk-upside-towers-22838358001?regionKey=143443001&gkId=22838358001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Бутырский, пр-д Огородный",49.5,665.0,бизнес,высотные дома,UPSIDE DEVELOPMENT | https://erzrf.ru/zastroyschiki/brand/2893990001?regionKey=0&organizationId=2893990001,5.0
56.0,20323036001.0,56/217,-5,ЖК Voxhall | https://erzrf.ru/novostroyki/zhk-voxhall-20323036001?regionKey=143443001&gkId=20323036001,г.Москва,"г.Москва, округ Центральный, р-н Замоскворечье, ул.Летниковская",49.4,134.0,бизнес,высотные дома,Группа Эталон | https://erzrf.ru/zastroyschiki/brand/1331499001?regionKey=0&organizationId=1331499001,5.0
57.0,18289693001.0,57/222,-4,ЖК MOD | https://erzrf.ru/novostroyki/zhk-mod-18289693001?regionKey=143443001&gkId=18289693001,г.Москва,"г.Москва, округ Северо-Восточный, р-н Марьина Роща, ул.4-я Марьиной рощи",49.2,133.0,бизнес,высотные дома,MR Group | https://erzrf.ru/zastroyschiki/brand/430836001?regionKey=0&organizationId=430836001,3.0
58.0,6064132001.0,58/223,0,ЖК Селигер Сити | https://erzrf.ru/novostroyki/zhk-seliger-siti-6064132001?regionKey=143443001&gkId=6064132001,г.Москва,"г.Москва, округ Северный, р-н Западное Дегунино, пр-д Ильменский",49.15,94.0,комфорт,высотные дома,MR Group | https://erzrf.ru/zastroyschiki/brand/430836001?regionKey=0&organizationId=430836001,3.0
59.0,5481326001.0,59/227,-2,ЖК Хедлайнер | https://erzrf.ru/novostroyki/zhk-headliner-5481326001?regionKey=143443001&gkId=5481326001,г.Москва,"г.Москва, округ Центральный, р-н Пресненский, пр-д Шмитовский",48.95,131.0,бизнес,высотные дома,ГК КОРТРОС | https://erzrf.ru/zastroyschiki/brand/429541001?regionKey=0&organizationId=429541001,4.0
60.0,15980449001.0,60/229,-2,ЖК HIDE | https://erzrf.ru/novostroyki/zhk-hide-15980449001?regionKey=143443001&gkId=15980449001,г.Москва,"г.Москва, округ Западный, р-н Раменки, пр-д 1-й Сетуньский",48.85,64.0,бизнес,высотные дома,ГК Dominanta | https://erzrf.ru/zastroyschiki/brand/25295570001?regionKey=0&organizationId=25295570001,н/р
61.0,9682646001.0,61/231,-1,ЖК Lucky | https://erzrf.ru/novostroyki/zhk-lucky-9682646001?regionKey=143443001&gkId=9682646001,г.Москва,"г.Москва, округ Центральный, р-н Пресненский, ул.2-я Звенигородская",48.7,20.0,элитный,дома повышенной этажности,Vesper | https://erzrf.ru/zastroyschiki/brand/3717405001?regionKey=0&organizationId=3717405001,0.5
62.0,20479805001.0,62/241,-1,ЖК HIGH LIFE Летниковская 11 | https://erzrf.ru/novostroyki/zhk-high-life-letnikovskaja-11-20479805001?regionKey=143443001&gkId=20479805001,г.Москва,"г.Москва, округ Южный, р-н Даниловский, ул.Летниковская",48.35,209.0,элитный,высотные дома,ГК Пионер | https://erzrf.ru/zastroyschiki/brand/430031001?regionKey=0&organizationId=430031001,5.0
